id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2449359829,https://www.vivareal.com.br/imovel/apartamento-3-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-160m2-aluguel-RS28800-id-2449359829/,"Apartamento com 3 Quartos para Aluguel, 160m²","Rua General Venâncio Flores, null - Leblon, Rio de Janeiro - RJ",160,3 Quartos,4 Banheiros,1 Vaga,"Segurança 24h
Cozinha
Mobiliado
Ar-condicionado",R$ 28.800 /mês,R$ 1.800,Leblon,2021-09-03 18:35
2516131981,https://www.vivareal.com.br/imovel/apartamento-1-quartos-leblon-zona-sul-rio-de-janeiro-69m2-aluguel-RS2290-id-2516131981/,"Apartamento com Quarto para Aluguel, 69m²","Avenida Bartolomeu Mitre - Leblon, Rio de Janeiro - RJ",69,1 Quarto,1 Banheiro,-- Vaga,Área de serviço,R$ 2.290 /mês,R$ 550,Leblon,2021-09-03 18:35
2463056354,https://www.vivareal.com.br/imovel/apartamento-3-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-110m2-aluguel-RS3100-id-2463056354/,"Apartamento com 3 Quartos para Aluguel, 110m²","Avenida Ataulfo de Paiva - Leblon, Rio de Janeiro - RJ",110,3 Quartos,2 Banheiros,1 Vaga,"Elevador
Aquecimento
Área de serviço",R$ 3.100 /mês,R$ 932,Leblon,2021-09-03 18:35
2504091764,https://www.vivareal.com.br/imovel/apartamento-4-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-200m2-aluguel-RS11000-id-2504091764/,"Apartamento com 4 Quartos para Aluguel, 200m²","Leblon, Rio de Janeiro - RJ",200,4 Quartos,4 Banheiros,2 Vagas,"Varanda
Ar-condicionado
Área de serviço
Armário na cozinha
Interfone
...",R$ 11.000 /mês,R$ 2.900,Leblon,2021-09-03 18:35
2531164597,https://www.vivareal.com.br/imovel/apartamento-3-quartos-leblon-zona-sul-rio-de-janeiro-80m2-venda-RS2100000-id-2531164597/,Apartamento com 3 Quartos para Venda/Aluguel 80m²,"Leblon, Rio de Janeiro - RJ",80,3 Quartos,1 Banheiro,-- Vaga,,"R$ 9.000 /mês
R$ 2.100.000",R$ 600,Leblon,2021-09-03 18:35
2522774977,https://www.vivareal.com.br/imovel/apartamento-3-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-174m2-aluguel-RS7500-id-2522774977/,"Apartamento com 3 Quartos para Aluguel, 174m²","Avenida Borges de Medeiros - Leblon, Rio de Janeiro - RJ",174,3 Quartos,2 Banheiros,2 Vagas,Ar-condicionado,R$ 7.500 /mês,R$ 3.185,Leblon,2021-09-03 18:35
2524472582,https://www.vivareal.com.br/imovel/apartamento-2-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-80m2-aluguel-RS3600-id-2524472582/,"Apartamento com 2 Quartos para Aluguel, 80m²","Leblon, Rio de Janeiro - RJ",80,2 Quartos,3 Banheiros,1 Vaga,"Ar-condicionado
Área de serviço
Armário embutido
Armário na cozinha
Interfone
...",R$ 3.600 /mês,R$ 1.000,Leblon,2021-09-03 18:35
2523715548,https://www.vivareal.com.br/imovel/apartamento-2-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-74m2-aluguel-RS3600-id-2523715548/,"Apartamento com 2 Quartos para Aluguel, 74m²","Leblon, Rio de Janeiro - RJ",74,2 Quartos,2 Banheiros,1 Vaga,"TV a cabo
Interfone
Armário na cozinha
Ar-condicionado
Área de serviço",R$ 3.600 /mês,R$ 1.300,Leblon,2021-09-03 18:35
2523768505,https://www.vivareal.com.br/imovel/apartamento-3-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-260m2-aluguel-RS30000-id-2523768505/,"Apartamento com 3 Quartos para Aluguel, 260m²","Avenida Delfim Moreira - Leblon, Rio de Janeiro - RJ",260,3 Quartos,4 Banheiros,2 Vagas,"Mobiliado
Elevador
Condomínio fechado
Varanda
Ar-condicionado
...",R$ 30.000 /mês,R$ 7.000,Leblon,2021-09-03 18:35
2510482535,https://www.vivareal.com.br/imovel/apartamento-1-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-77m2-aluguel-RS4800-id-2510482535/,"Apartamento com Quarto para Aluguel, 77m²","Leblon, Rio de Janeiro - RJ",77,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Ar-condicionado
...",R$ 4.800 /mês,R$ 1.500,Leblon,2021-09-03 18:35
2520388775,https://www.vivareal.com.br/imovel/apartamento-2-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-80m2-aluguel-RS5900-id-2520388775/,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Almirante Guilhem - Leblon, Rio de Janeiro - RJ",80,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",R$ 5.900 /mês,R$ 1.600,Leblon,2021-09-03 18:35
2498021530,https://www.vivareal.com.br/imovel/apartamento-2-quartos-leblon-zona-sul-rio-de-janeiro-com-garagem-73m2-aluguel-RS4000-id-2498021530/,"Apartamento com 2 Quartos para Aluguel, 73m²","Leblon, Rio de Janeiro - RJ",73,2 Quartos,1 Banheiro,1 Vaga,"Mobiliado
Ar-condicionado
Área de serviço",R$ 4.000 /mês,R$ 1.950,Leblon,2021-09-03 18:35
