iter	RMSE
0	6579.415427
1	6372.103809
2	6188.240681
3	6021.128453
4	5843.226355
5	5696.215566
6	5541.722796
7	5404.39675
8	5287.488257
9	5162.233089
10	5047.60741
11	4936.460932
12	4839.300366
13	4749.216823
14	4648.499482
15	4569.488011
16	4486.845668
17	4415.921818
18	4338.827644
19	4269.98463
20	4192.36087
21	4114.261224
22	4042.177127
23	3972.106962
24	3915.65963
25	3855.465028
26	3796.289086
27	3740.56318
28	3691.18557
29	3648.259593
30	3602.710333
31	3560.517313
32	3528.177785
33	3488.719216
34	3453.398466
35	3414.815391
36	3383.225056
37	3349.534794
38	3317.797835
39	3290.786908
40	3272.054207
41	3252.946889
42	3228.217853
43	3204.987313
44	3180.768377
45	3157.974554
46	3135.943352
47	3118.705546
48	3099.277402
49	3082.890473
50	3075.359269
51	3058.336083
52	3046.508727
53	3032.038237
54	3020.12782
55	3008.563062
56	2999.787936
57	2988.492003
58	2978.063322
59	2968.79026
60	2958.650905
61	2948.175782
62	2938.740695
63	2929.517038
64	2921.050871
65	2912.218775
66	2907.386769
67	2897.789197
68	2892.811306
69	2887.926685
70	2882.359062
71	2878.646835
72	2872.542651
73	2865.009564
74	2859.040881
75	2854.245275
76	2842.945365
77	2839.02499
78	2833.206034
79	2827.19623
80	2823.017056
81	2818.684344
82	2815.048121
83	2811.40436
84	2808.335266
85	2805.297198
86	2802.779177
87	2798.221396
88	2795.126249
89	2791.739827
90	2789.328843
91	2786.907904
92	2784.136703
93	2782.240995
94	2778.845499
95	2774.413293
96	2771.218144
97	2768.009952
98	2765.164613
99	2761.962203
100	2759.123301
101	2757.113075
102	2754.323636
103	2752.699944
104	2750.940962
105	2747.759086
106	2742.813073
107	2740.031933
108	2734.6947
109	2730.497454
110	2726.0685
111	2723.265094
112	2723.111904
113	2721.195246
114	2716.022104
115	2714.522246
116	2710.606133
117	2703.887982
118	2701.232271
119	2699.556862
120	2697.695493
121	2696.157416
122	2696.15703
123	2691.753495
124	2688.818814
125	2686.403101
126	2684.878776
127	2683.361033
128	2681.348531
129	2679.898754
130	2678.153871
131	2674.84667
132	2674.033576
133	2672.878945
134	2670.110005
135	2665.165674
136	2663.304509
137	2661.762178
138	2657.977252
139	2656.953782
140	2649.708695
141	2648.321499
142	2644.757395
143	2642.698862
144	2637.47479
145	2636.4182
146	2634.443896
147	2633.44201
148	2631.560943
149	2630.090956
150	2628.168299
151	2626.784034
152	2625.537666
153	2618.543904
154	2617.462424
155	2613.83898
156	2612.74388
157	2610.327262
158	2609.174538
159	2608.033902
160	2606.503125
161	2603.434096
162	2602.231086
163	2600.973375
164	2597.214116
165	2595.727201
166	2593.775584
167	2591.742825
168	2590.35628
169	2582.755585
170	2580.929147
171	2577.609281
172	2576.404379
173	2573.401302
174	2573.353846
175	2572.280307
176	2571.159633
177	2570.194166
178	2567.476332
179	2561.053315
180	2560.011996
